lat,lon,category,label
40.5895,-82.6697,insects,Insect damage to trees
45.7107,-89.6700,disease,Disease damage
35.7684,-82.7612,weather,Weather damage
36.3024,-76.6183,fire,Fire damage (general)
48.7318,-118.8656,insects,Insect damage to trees
43.5679,-89.5460,insects,Insect damage
36.9013,-85.2270,insects,Insect damage to trees
39.9089,-83.5978,insects,Insect damage
44.8509,-114.2105,insects,Insect damage to trees
36.6322,-78.9447,other,Human-induced
32.7093,-91.9159,fire,Ground fire
30.9199,-85.6654,weather,Wind/hurricane/tornado
39.9370,-77.3281,weather,Weather damage
44.4055,-112.3609,disease,Disease damage
41.5888,-106.2565,animal,Deer/ungulate
31.8963,-90.6620,insects,Insect damage to trees
46.5858,-121.8196,animal,Animal damage
37.9550,-79.3709,other,Human-induced
36.6069,-92.3292,animal,Domestic animal/livestock
43.9008,-121.7381,disease,Disease damage
29.6856,-82.0756,insects,Insect damage
32.5026,-84.7105,fire,Ground fire
42.5564,-120.8002,insects,Insect damage
43.2228,-78.7321,insects,Insect damage to trees
37.3827,-107.6566,fire,Ground fire
34.6595,-77.5753,fire,Fire damage (general)
37.2818,-85.0142,weather,Wind/hurricane/tornado
39.4521,-84.7417,vegetation,Vegetation (competition/vines)
43.1696,-122.1840,disease,Disease damage to trees
40.3295,-94.6664,animal,Domestic animal/livestock
48.3454,-118.4209,insects,Insect damage
45.7546,-117.6685,disease,Disease damage to trees
38.8977,-82.2154,vegetation,Vegetation (competition/vines)
47.2578,-92.7618,vegetation,Vegetation (competition/vines)
45.1614,-122.1696,insects,Insect damage
38.1023,-82.4440,insects,Insect damage
37.6726,-119.5558,fire,Ground fire
32.1122,-87.3449,weather,Weather damage
31.1996,-88.2556,fire,Ground fire
40.0108,-90.6988,insects,Insect damage
40.6872,-82.8215,insects,Insect damage
46.5053,-110.8000,insects,Insect damage
30.7722,-84.0608,fire,Ground fire
42.8238,-88.2978,disease,Disease damage
33.8250,-82.1399,insects,Insect damage
45.1409,-111.2844,disease,Disease damage to trees
33.4437,-107.9166,fire,Ground fire
35.0577,-79.0852,fire,Ground fire
36.2057,-118.7171,insects,Insect damage
36.2338,-90.4602,weather,Ice
47.2431,-92.2872,vegetation,Vegetation (competition/vines)
30.2051,-102.7992,fire,Fire damage (general)
45.1526,-119.1752,disease,Disease damage to trees
37.6163,-107.0982,insects,Insect damage
30.6428,-83.9246,other,Human-induced
