lat,lon,status
34.7657,-93.8881,Excluded
46.6987,-69.4434,Clean
44.3653,-74.4050,Clean
47.6781,-91.3289,Clean
47.2218,-95.3304,Clean
44.1479,-74.6285,Clean
44.7066,-83.6799,Clean
37.3319,-89.8455,Clean
26.7995,-98.1538,Clean
30.4216,-94.0754,Clean
42.8441,-122.0835,Clean
42.5976,-123.8978,Clean
42.6864,-71.8908,Excluded
40.6130,-123.3256,Clean
38.0326,-118.6896,Clean
45.1976,-93.7823,Clean
30.9521,-81.8770,Clean
46.3152,-89.3154,Clean
33.9032,-98.5401,Excluded
36.6127,-87.5542,Clean
46.1183,-90.2610,Clean
33.4433,-91.6938,Excluded
32.7190,-84.9680,Clean
43.7930,-90.0467,Clean
30.4910,-90.7499,Excluded
43.0281,-121.1558,Clean
36.8859,-85.7877,Excluded
45.4383,-116.8481,Clean
38.2581,-106.6016,Clean
42.2590,-79.3720,Excluded
38.0087,-114.2689,Clean
32.2183,-90.8584,Clean
44.0376,-71.1710,Clean
33.9160,-85.1391,Clean
39.5596,-106.3387,Clean
41.4959,-75.2087,Clean
44.7798,-83.3937,Clean
36.0020,-92.5548,Clean
39.7596,-78.1445,Clean
30.7164,-101.7028,Clean
46.2430,-117.6039,Clean
47.4786,-91.7239,Clean
33.2483,-88.1782,Clean
32.1611,-91.0842,Excluded
44.0832,-84.4861,Clean
40.8262,-76.3951,Clean
31.2232,-99.1156,Clean
37.3964,-103.6412,Clean
39.5022,-114.6811,Clean
32.4452,-88.4316,Clean
42.2323,-123.6621,Clean
44.9582,-88.8772,Excluded
31.5633,-86.2304,Excluded
33.3496,-85.0548,Excluded
44.3466,-69.8667,Clean
48.0374,-120.0992,Clean
47.1347,-68.0826,Excluded
45.4902,-68.0692,Excluded
40.9801,-121.8312,Clean
34.7641,-78.1520,Clean
36.9450,-112.8575,Clean
31.4559,-92.9762,Clean
42.6795,-120.7670,Clean
45.4701,-121.4711,Clean
34.6593,-89.1989,Clean
45.9719,-121.9744,Clean
35.2570,-84.2113,Clean
33.3894,-109.4896,Clean
30.3133,-84.9885,Clean
44.7601,-87.3486,Clean
33.6201,-91.8401,Excluded
35.6756,-91.9626,Clean
43.3090,-86.0486,Excluded
45.7343,-116.1046,Clean
33.8278,-81.9702,Clean
40.9076,-80.8891,Clean
37.6675,-90.7072,Excluded
34.4737,-88.1383,Clean
36.4237,-76.7153,Clean
41.9825,-75.2687,Clean
34.5343,-78.4197,Clean
43.7552,-72.1304,Clean
34.8542,-93.4636,Clean
38.3257,-92.2688,Clean
48.6094,-115.7111,Clean
47.9713,-93.6397,Clean
33.1331,-86.3540,Clean
40.5896,-79.6547,Clean
48.4337,-94.5623,Clean
37.6667,-92.9230,Clean
36.0760,-79.6804,Clean
44.3501,-90.0810,Excluded
31.6004,-104.2123,Clean
39.4952,-85.2477,Clean
35.9923,-86.6434,Clean
