source_taxon_key,source_taxon_name,n_source_codes,source_keys,source_systems,community_layers,any_bien_range_available,any_candidate_bien_range_available,total_abundance,total_cwm_missing_weight
taxon:bobea_elatior,Bobea elatior,2,fia_spcd:6243;p2veg:BOEL3,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;tree,FALSE,FALSE,189.73426294282,0
taxon:bobea_sandwicensis,Bobea sandwicensis,2,fia_spcd:6244;p2veg:BOSA2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,467.836499397271,149.930565
taxon:broussaisia_arguta,Broussaisia arguta,2,fia_spcd:6260;p2veg:BRAR6,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,FALSE,FALSE,24901.4427576653,16642.292692
taxon:buddleja_asiatica,Buddleja asiatica,2,fia_spcd:6286;p2veg:BUAS,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling;shrub,FALSE,FALSE,109.045929,74.965282
taxon:calocedrus_decurrens,Calocedrus decurrens,2,fia_spcd:81;p2veg:CADE27,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,1713501.18418511,0
taxon:caragana_arborescens,Caragana arborescens,2,fia_spcd:5375;p2veg:CAAR18,fia_spcd;nrcs_plants_symbol,sapling;seedling;shrub,TRUE,FALSE,2415.889038,0
taxon:carica_papaya,Carica papaya,2,fia_spcd:6395;p2veg:CAPA23,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling,TRUE,FALSE,153.930564,0
taxon:casuarina_cunninghamiana,Casuarina cunninghamiana,2,fia_spcd:6433;p2veg:CACU8,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,2513.35687709108,0
taxon:casuarina_equisetifolia,Casuarina equisetifolia,2,fia_spcd:6434;p2veg:CAEQ,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,4427.13607277762,0
taxon:casuarina_glauca,Casuarina glauca,2,fia_spcd:856;p2veg:CAGL11,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling;tree,TRUE,FALSE,238.552565073788,0
taxon:cecropia_obtusifolia,Cecropia obtusifolia,2,fia_spcd:6441;p2veg:CEOB,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,3831.26088208918,0
taxon:celtis_laevigata,Celtis laevigata,2,fia_spcd:461;p2veg:CELA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,2609357.31081743,0
taxon:celtis_laevigata_var_reticulata,Celtis laevigata var. reticulata,2,fia_spcd:463;p2veg:CELAR,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,FALSE,FALSE,263617.067241483,217474.2842
taxon:celtis_occidentalis,Celtis occidentalis,2,fia_spcd:462;p2veg:CEOC,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,7071441.75955565,0
taxon:cercocarpus_ledifolius,Cercocarpus ledifolius,2,fia_spcd:475;p2veg:CELE3,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,398668.79571484,0
taxon:cestrum_nocturnum,Cestrum nocturnum,2,fia_spcd:6477;p2veg:CENO,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub,TRUE,FALSE,1772.305646,0
taxon:chamaecyparis_lawsoniana,Chamaecyparis lawsoniana,2,fia_spcd:41;p2veg:CHLA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,99941.5303651024,0
taxon:chamaesyce_celastroides,Chamaesyce celastroides,2,fia_spcd:6483;p2veg:CHCE,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling;shrub,FALSE,FALSE,2033.062626,2024.062626
taxon:cheirodendron_platyphyllum,Cheirodendron platyphyllum,2,fia_spcd:6510;p2veg:CHPL,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;tree,FALSE,FALSE,33.8465895114538,0
taxon:cheirodendron_trigynum,Cheirodendron trigynum,2,fia_spcd:6514;p2veg:CHTR2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,49920.3111300282,33059.689537
taxon:chenopodium_oahuense,Chenopodium oahuense,2,fia_spcd:6517;p2veg:CHOA,fia_spcd;nrcs_plants_symbol,sapling;shrub;tree,FALSE,FALSE,230.044880165528,0
taxon:chrysolepis_chrysophylla_var_chrysophylla,Chrysolepis chrysophylla var. chrysophylla,2,fia_spcd:431;p2veg:CHCHC4,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,FALSE,FALSE,896938.446081021,758048.935864
taxon:chrysophyllum_oliviforme,Chrysophyllum oliviforme,2,fia_spcd:6542;p2veg:CHOL,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,2001.4245215799,0
taxon:cibotium_chamissoi,Cibotium chamissoi,2,fia_spcd:6546;p2veg:CICH,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling;tree,FALSE,FALSE,2187.59226432423,1949.097341
taxon:cibotium_glaucum,Cibotium glaucum,2,fia_spcd:6547;p2veg:CIGL,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,106551.154201054,85685.317794
taxon:cibotium_menziesii,Cibotium menziesii,2,fia_spcd:6548;p2veg:CIME8,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,27362.7135956787,23014.341677
taxon:cinnamomum_burmannii,Cinnamomum burmannii,2,fia_spcd:6555;p2veg:CIBU2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,17204.1483247381,14993.056492
