species_key,source_species_code,scientific_name,common_name,gap_stage,gap_reason,cwm_missing_n_condition_rows,cwm_missing_weight_total,range_lookup_status,range_match_status,range_review_reason
fia_spcd:137,137,Pinus washoensis,Washoe pine,no_bien_range_map,BIEN did not report a range map for the query binomial,4,374.826411,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:450,450,Catalpa spp.,catalpa spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",6,374.82641,,,
fia_spcd:8675,8675,Stewartia koreana,stewartia,no_bien_range_map,BIEN did not report a range map for the query binomial,1,299.86113,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8238,8238,Pittosporum spp.,cheesewood,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",2,299.861129,,,
fia_spcd:583,583,Halesia parviflora,little silverbell,no_bien_range_map,BIEN did not report a range map for the query binomial,1,224.895847,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6716,6716,Coprosma foliosa,forest mirrorplant,no_bien_range_map,BIEN did not report a range map for the query binomial,2,224.895847,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7742,7742,Melicope ovata,eggshape melicope,no_bien_range_map,BIEN did not report a range map for the query binomial,1,224.895847,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7751,7751,Melicope rotundifolia,roundleaf melicope,no_bien_range_map,BIEN did not report a range map for the query binomial,1,224.895847,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7753,7753,Melicope sandwicensis,Mt. Kaala melicope,no_bien_range_map,BIEN did not report a range map for the query binomial,1,224.895847,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8205,8205,Pipturus albidus,Waimea pipturus,no_bien_range_map,BIEN did not report a range map for the query binomial,2,224.895847,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8522,8522,Santalum paniculatum,mountain sandalwood,no_bien_range_map,BIEN did not report a range map for the query binomial,2,224.895847,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8774,8774,Tetraplasandra oahuensis,ohe mauka,no_bien_range_map,BIEN did not report a range map for the query binomial,2,224.895847,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:10,10,Abies spp.,fir spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",3,224.895846,,,
fia_spcd:6722,6722,Coprosma rhynchocarpa,woodland mirrorplant,no_bien_range_map,BIEN did not report a range map for the query binomial,3,224.895846,no_range,missing_range,BIEN did not report a range map for the query binomial
