species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,n_states,n_plot_visits,n_conditions,abundance_total,bien_query_name,range_lookup_status,range_review_reason
p2veg:MOCA6,nrcs_plants_symbol,MOCA6,Morella californica,California wax myrtle,p2veg_tree_layer;shrub,3,53,55,2129.598187,Morella_californica,missing,No BIEN range returned
fia_spcd:6546,fia_spcd,6546,Cibotium chamissoi,Chamissos manfern,seedling;tree,1,18,18,2071.59226432423,Cibotium_chamissoi,missing,No BIEN range returned
p2veg:ARCA11,nrcs_plants_symbol,ARCA11,Artemisia californica,coastal sagebrush,shrub,1,88,94,2066.843586,Artemisia_californica,missing,No BIEN range returned
fia_spcd:6483,fia_spcd,6483,Chamaesyce celastroides,ekoko,seedling,1,2,2,2024.062626,Chamaesyce_celastroides,missing,No BIEN range returned
fia_spcd:8296,fia_spcd,8296,Poncirus trifoliata,hardy orange,seedling,3,7,7,2024.062624,Poncirus_trifoliata,missing,No BIEN range returned
p2veg:PRHOO,nrcs_plants_symbol,PRHOO,Prosartes hookeri var. oregana,Oregon drops of gold,forb,4,158,168,1980.140708,Prosartes_hookeri_var._oregana,missing,No BIEN range returned
p2veg:CEOR9,nrcs_plants_symbol,CEOR9,Cercis orbiculata,California redbud,p2veg_tree_layer;shrub,1,141,150,1948.262033,Cercis_orbiculata,missing,No BIEN range returned
p2veg:HEWH,nrcs_plants_symbol,HEWH,Hesperoyucca whipplei,chaparral yucca,shrub,1,148,156,1947.936946,Hesperoyucca_whipplei,missing,No BIEN range returned
fia_spcd:8373,fia_spcd,8373,Psychotria hawaiiensis,kopikoula,seedling;tree,1,35,35,1881.68759571804,Psychotria_hawaiiensis,missing,No BIEN range returned
p2veg:EUGR12,nrcs_plants_symbol,EUGR12,Eucalyptus grandis,grand eucalyptus,p2veg_tree_layer,1,11,12,1789,Eucalyptus_grandis,missing,No BIEN range returned
p2veg:JUARL,nrcs_plants_symbol,JUARL,Juncus arcticus ssp. littoralis,mountain rush,graminoid,10,78,81,1761.325885,Juncus_arcticus_ssp._littoralis,missing,No BIEN range returned
p2veg:CIME8,nrcs_plants_symbol,CIME8,Cibotium menziesii,hapu'u li,p2veg_tree_layer,1,67,68,1720,Cibotium_menziesii,missing,No BIEN range returned
p2veg:SEJA,nrcs_plants_symbol,SEJA,Senecio jacobaea,stinking willie,forb,4,89,94,1706.360833,Senecio_jacobaea,missing,No BIEN range returned
p2veg:FRCAC5,nrcs_plants_symbol,FRCAC5,Frangula californica ssp. californica,California buckthorn,p2veg_tree_layer;shrub,3,112,118,1704.923367,Frangula_californica_ssp._californica,missing,No BIEN range returned
p2veg:ABLAL,nrcs_plants_symbol,ABLAL,Abies lasiocarpa var. lasiocarpa,subalpine fir,p2veg_tree_layer,5,42,47,1700.475416,Abies_lasiocarpa_var._lasiocarpa,missing,No BIEN range returned
p2veg:SANIC5,nrcs_plants_symbol,SANIC5,Sambucus nigra ssp. cerulea,blue elderberry,p2veg_tree_layer;shrub,11,238,244,1699.545136,Sambucus_nigra_ssp._cerulea,missing,No BIEN range returned
p2veg:VETE4,nrcs_plants_symbol,VETE4,Veratrum tenuipetalum,Colorado false hellebore,forb,1,89,90,1674.74143,Veratrum_tenuipetalum,missing,No BIEN range returned
p2veg:LALAL3,nrcs_plants_symbol,LALAL3,Lathyrus lanszwertii var. leucanthus,Nevada pea,forb;shrub,5,90,93,1663.608417,Lathyrus_lanszwertii_var._leucanthus,missing,No BIEN range returned
p2veg:ACCO,nrcs_plants_symbol,ACCO,Acacia confusa,small Philippine acacia,p2veg_tree_layer,1,14,16,1662,Acacia_confusa,missing,No BIEN range returned
fia_spcd:561,fia_spcd,561,Ginkgo biloba,ginkgo,seedling;tree,5,7,7,1608.83327052108,Ginkgo_biloba,missing,No BIEN range returned
fia_spcd:6719,fia_spcd,6719,Coprosma montana,alpine mirrorplant,seedling,1,6,7,1574.270929,Coprosma_montana,missing,No BIEN range returned
p2veg:ARAC2,nrcs_plants_symbol,ARAC2,Arenaria aculeata,prickly sandwort,forb;shrub,7,130,146,1538.888977,Arenaria_aculeata,missing,No BIEN range returned
fia_spcd:8549,fia_spcd,8549,Scaevola chamissoniana,naupaka kuahiwi,seedling,1,1,1,1499.305649,Scaevola_chamissoniana,missing,No BIEN range returned
p2veg:HICA10,nrcs_plants_symbol,HICA10,Hieracium caespitosum,meadow hawkweed,forb,4,102,113,1428.877849,Hieracium_caespitosum,missing,No BIEN range returned
p2veg:STLAC,nrcs_plants_symbol,STLAC,Streptopus lanceolatus var. curvipes,twistedstalk,forb,2,144,156,1424.793201,Streptopus_lanceolatus_var._curvipes,missing,No BIEN range returned
