scenario,response,group,group_label,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n,stable_plots
condition_prop_80,temperature,trees,Adults,disease_cumulative_mortality_pct,0.000313182379931553,0.000413243916145494,0.757863256288783,0.448536423468766,-0.000496780434456542,0.00112314519431965,49968,49966
condition_prop_80,temperature,trees,Adults,fire_cumulative_mortality_pct,0.00104817936144089,0.000314752289480118,3.33017231795893,0.000868550674864854,0.000431261264738272,0.0016650974581435,49968,49966
condition_prop_80,temperature,trees,Adults,full_survey_period_years,0.00717001479895051,0.00070201551047566,10.2134706312862,1.8241195333054e-24,0.00579405634827905,0.00854597324962197,49968,49966
condition_prop_80,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00164210273917736,0.000439151718880158,3.73926064405428,0.000184768157670094,0.000781360334339856,0.00250284514401487,49968,49966
state_fixed_effects,temperature,trees,Adults,cumulative_site_CWD_mm,1.06315203202357e-06,1.11810023258203e-06,0.95085574713497,0.34168078579824,-1.12832082535138e-06,3.25462488939852e-06,72388,71316
state_fixed_effects,temperature,trees,Adults,disease_cumulative_mortality_pct,0.00063146702049043,0.000399946313618361,1.57887946203948,0.11436808042267,-0.000152426467017187,0.00141536050799805,72388,71316
state_fixed_effects,temperature,trees,Adults,fire_cumulative_mortality_pct,0.0013223054207495,0.000292815014805878,4.5158388535032,6.31660535471036e-06,0.00074838893412374,0.00189622190737526,72388,71316
state_fixed_effects,temperature,trees,Adults,full_survey_period_years,0.0044488991552204,0.000860401120558438,5.17072682603304,2.33804503677144e-07,0.00276251572803471,0.00613528258240609,72388,71316
state_fixed_effects,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00192165648471292,0.000418179078721985,4.59529561016247,4.32864677839831e-06,0.0011020268362824,0.00274128613314344,72388,71316
mean_monthly_CWD,temperature,trees,Adults,disease_cumulative_mortality_pct,0.000247720221976903,0.00039056806162795,0.634256218863278,0.525915628107494,-0.000517791913140705,0.00101323235709451,72388,71316
mean_monthly_CWD,temperature,trees,Adults,fire_cumulative_mortality_pct,0.00100597793411268,0.000291581742036128,3.45007176062498,0.000560756815679319,0.000434478664620405,0.00157747720360496,72388,71316
mean_monthly_CWD,temperature,trees,Adults,full_survey_period_years,0.00778813290548266,0.000628135299623282,12.3988142525241,2.88047353460708e-35,0.00655698975375356,0.00901927605721175,72388,71316
mean_monthly_CWD,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00166524358034514,0.00040240140970385,4.13826477787612,3.50337603087333e-05,0.000876538121345863,0.00245394903934441,72388,71316
mean_monthly_CWD,temperature,trees,Adults,mean_monthly_site_CWD_mm,-0.000136327372321557,8.19841008381552e-05,-1.66285134468549,0.0963465254753633,-0.000297015944287018,2.43611996439038e-05,72388,71316
no_survey_period,temperature,trees,Adults,cumulative_site_CWD_mm,-1.97944540980448e-06,6.71447669187424e-07,-2.94802633271477,0.00319911910177175,-3.29548066521738e-06,-6.6341015439158e-07,72388,71316
no_survey_period,temperature,trees,Adults,disease_cumulative_mortality_pct,0.000593474076226071,0.000388439151106048,1.52784309855534,0.12655586826252,-0.000167865400991661,0.0013548135534438,72388,71316
no_survey_period,temperature,trees,Adults,fire_cumulative_mortality_pct,0.000955349763664238,0.000291925791965756,3.27257744932762,0.00106621575510448,0.000383176157557003,0.00152752336977147,72388,71316
no_survey_period,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00166621951603519,0.000402577408129436,4.13887983376224,3.49400053939451e-05,0.000877169100874399,0.00245526993119599,72388,71316
